"square_footage","bedrooms","bathrooms","year_built","lot_size","neighborhood","school_district_rating","crime_rate","proximity_to_amenities","economic_indicator","price"
2485,2,2,1975,2960,"Podor",6.6,10,7.5,115.1,691535
1518,2,2,1956,3492,"Tambacounda",5.5,8.1,3.1,104.1,560974
1982,4,1,1963,2549,"St-Louis",10.2,9.7,8.4,125.7,741437
2116,3,2,1982,2966,"Touba",8.5,3.4,9.2,103.7,811610
2002,2,3,2018,8444,"Touba",8.2,3.3,5,92,658174
1747,2,2,1997,11000,"Podor",5.8,2.1,3.9,82.9,644299
2556,2,2,1992,10006,"Ziguinchor",8.5,3.1,7.1,99.3,736241
1753,4,2,1991,5939,"Touba",4.7,5,7.5,121.9,649098
2809,3,3,1951,7358,"St-Louis",5.6,3.6,0.7,121.5,867119
1769,3,2,1971,5805,"Dakar",8.1,8.9,8.6,77.2,770872
2452,2,2,2011,6007,"Dakar",7.7,1.6,8.3,57.5,824446
2943,1,1,1997,5410,"Dakar",4.6,6.5,6.6,90.8,781317
1106,4,2,1976,6182,"Podor",6.4,1.3,7.6,130.7,610206
1661,3,3,1977,6563,"Thies",7.4,7.7,4.3,113.5,838257
1733,2,2,2007,4038,"Touba",6.3,5.9,8.7,107.7,626395
2118,4,2,2008,6360,"Touba",6.9,8.7,0.9,69.5,607708
1658,3,2,1996,8771,"Thies",8.3,4.8,8.4,116,794919
472,3,2,1991,7085,"Kaolack",8.1,9.3,4.7,111.8,539534
580,2,3,1967,5499,"St-Louis",5.9,2.1,6.5,100.2,435653
2460,3,2,2008,4880,"Ziguinchor",6.8,3.9,8.4,105.9,729332
1647,3,1,2009,5575,"Tambacounda",7,1.6,2.9,105.4,631602
909,5,3,2019,3635,"Touba",7.1,2.7,8.6,112.9,578932
1714,2,2,1981,1907,"Ziguinchor",8.4,5.3,6.8,138,601338
2407,4,3,2007,7701,"St-Louis",7.7,7,4.1,89.4,911084
2748,4,3,1960,3282,"Thies",6.7,2.9,4.8,89.7,974517
1585,1,2,1965,5568,"Kaolack",5.7,9.5,4.6,114.7,647547
1671,3,3,1974,8479,"Ziguinchor",7.5,2.9,9.2,79.7,641220
918,3,2,2009,6295,"Kaolack",4.5,3.6,6.2,126,592316
2030,2,2,1982,8830,"St-Louis",8.6,3.7,9.6,84.6,583243
1480,3,2,1996,2157,"Dakar",9.9,4.9,8.7,102.1,804141
2028,3,2,1990,3511,"St-Louis",8.8,3.2,7.7,76.2,700123
2152,3,2,1955,5452,"St-Louis",5.2,8.4,2.4,85.2,725214
2318,3,2,1962,4887,"Dakar",6.7,6.2,2.8,110.3,937307
1496,4,2,1970,6429,"St-Louis",6.3,9.9,3.5,86.6,582884
2052,2,1,2006,7541,"Thies",7.1,8.4,7.9,121.4,665566
941,2,2,1988,8275,"Kaolack",7.3,1.3,1,102.7,561897
1408,3,3,1986,7626,"Kaolack",7.8,3.2,6.3,132.8,702262
1375,4,1,1958,3444,"St-Louis",9.5,4.1,0.2,113.7,620075
593,2,2,1982,4978,"Dakar",9.3,2.1,7.1,96.7,680598
1818,4,2,2011,5919,"Ziguinchor",6.9,1.3,8.8,101.4,679762
1903,1,2,1954,4368,"Podor",8.1,7.8,4.4,90.2,545896
1619,3,2,1997,4944,"Touba",9.5,3.5,9.4,108.3,711655
2179,3,2,1982,4266,"Dakar",9.3,3.5,0,134.7,879199
1437,3,2,1998,6185,"Kaolack",4.5,8.3,6.1,87.9,541337
